Quel est votre niveau de satisfaction concernant votre CPAM;Que pourrait faire votre CPAM pour améliorer votre satisfaction globale?
Assez satisfait;La CPAM Recommande des vaccinations (exemple zona) mais pas de possibilité de le réaliser sans prescription médicale en pharmacie Désengorger les consultations médicales de consultations simples qui pourraient être pris en charge par d autres personnels
Assez satisfait;j'aimerais pouvoir envoyer par mail  des  demande de remboursement   ce serait un gain de temps et d'argent (enveloppe, timbre)
Pas du tout satisfait;Changer vos procédures! Et voir la réalité en face sans avoir à faire dix milles courrier
Assez satisfait;Prendre les feuilles de maladie en direct au lieu de nous demander de la mettre dans la boite à lettre à l 'exterieur  ! Faire les demarches en direct sur internet au lieu de nous dire de les faire chez nous Si nous venons c'est pour etre aider pas pour nous demander de le faire chez nous!
Peu satisfait;Avoir des renseignements plus precis sur les dossiers , au lieu de repondre je vais en faire part au service concerné ...
Peu satisfait;J.ai envoyé plusieurs relèvés d’identite bancaire signalant mon changement de compte bancaire et adresse mais aucun résultas tout arrive encore sur l’ancien compte joint.  L.accès au compte Améliorer est souvent inaccessible ou bloqué
Peu satisfait;Pouvoir transférer les feuilles de soins directement via l'application et ne pas être obligé d'effectuer l'envoi postal. De pouvoir correspondre plus intuitivement et facilement par mail.  Que les délais de réponse soit plus rapide.
Assez satisfait;Faciliter les massages
Très satisfait;Je trouve très agréable et performant le suivi de mon dossier Ameli par ma messagerie Orange
Très satisfait;rester un service public
Très satisfait;Peut-être un temps d'attente téléphonique plus court
Peu satisfait;repondre aux interrogations de facturation en double d'une prestation de chirurgie suite à un raté du chir
Très satisfait;Nous expliquer quand nous somme en arret maladie
Très satisfait;Effectuer les remboursements concernant les produits divers plus rapidement
Assez satisfait;Traitement des documents soient plus rapide
Pas du tout satisfait;Nous devrions avoir un accueil téléphonique de qualité, avec des interlocuteurs audibles, compréhensibles et compétents. C est une aberration de voir le service public se détériorer autant ! Nous payons des charges de plus en ^plus importantes pour un service rendu de plus en plus détérioré! Une honte! Vos services commettent une erreur sur mon dossier et JE suis considérée comme un fraudeur !! je suis très en colère!
Assez satisfait;Plus de facilités pour envoyer des demandes précises à la CPAM
Très satisfait;Rien a signaler
Très satisfait;Ras
Peu satisfait;Transférer mon dossier à ma nouvelle caisse suite à mon déménagement
Assez satisfait;Avoir plus d'informations sur les remboursements de soins à l'étranger
Peu satisfait;Utilisation plus simple du compte amelie
Pas du tout satisfait;Remboursement  des  soins
Assez satisfait;"Le contact par mail est inefficace: - difficulté pour accéder au mode ""écrire un mail""... il faut passe par le tchat car sinon on ne peut que consulter les mails reçus mais pas en voyer - réponses inadéquates. Ce sont des copier-coller de réponses toutes faites. Ce n'est pas du tout personnalisé au compte client. Donc la réponse est vague et inappropriée. Alors que par téléphone, malgré le temps d'attente beaucoup trop long, on n'a une réponse personnalisée et adéquat sur le problème rencontré. La réponse est immédiate et très souvent pertinente."
Assez satisfait;Je n ai pas de nouvelles concernant le remboursement de mes soins dentaires en Espagne, de ce fait la suite de mes soins est en attente
Pas du tout satisfait;Recevoir les 6 RAR que j’ai envoyé + les e-mails, et me rembourser ce qu’on me doit !
Assez satisfait;Amélioration des délais de traitements, simplifications des démarches informatiques.
Très satisfait;Plus de détails sur les remboursements
Peu satisfait;Aucun courrier nous indiquant, qu'il y a un compteur de dettes !!
Peu satisfait;Plateforme d'échange par mail, et ne plus tourner en rond avec le chatbot ! Créer un compte Amélie, suivre les démarche sur une application, mais être obligé d'envoyer des courriers papiers ... je trouve qu'il y a un décalage.
Assez satisfait;Intégrer à vos applications métiers les personnes en poly-activité, y compris les fonctionnaires, cela m’éviterait d’appeler tout les mois afin de débloquer mon compte
Assez satisfait;M'indemniser quand on me fait perdre une journée de travail pour un rendez-vous qui n'avait pas lieu d'être. Assistante maternelle j'ai perdu le salaire d'une journée.
Assez satisfait;Vous n'êtes pas facile à joindre par tel.  Les réponses sont robotiques. J'ai adressé un courrier avec deux questions, je n'ai obtenu qu'une réponse. Un peu plus de considération serait la bienvenue
Pas du tout satisfait;Ne pas demander de participation lors des transports en vls et ne pas de payer les boîtes de médocs pour traitements lourds.nous ne choisissons pas d être malade.merci
Assez satisfait;"pour le moment, je n'ai aucun besoin. si 'j;en avais, 'j;aimerais pouvoir rencontrer quelqu'un de vivant, pas une voix artificielle..."
Très satisfait;diminuer le temp da tente au telephone
Assez satisfait;Avoir un être humain en ligne. Trop de réponses robot sur ameli.fr. Prise de rdv ne fonctionne pas. Réponses fournies incorrectes. A ce jour, je suis obligée de contacter la médiatrice..
Assez satisfait;Prendre en compte le fait que lorsqu'on souffre d'une maladie ou d'une pathologie (fibromyalgie) pour ma part, nous devrions accéder à la prise en charge de certains frais médicaux ou médicaments à 100% ou être en ALD car en étant en situation de handicap, il est parfois compliqué de devoir avancer certains frais médicaux...
Assez satisfait;Plus de disponibilités des agents de la CPAM, Un site modernisé avec plus de facilité pour naviguer entre kes rubriques, Une sécurisation plus élaborée
Assez satisfait;Renforçer le personnel d'accueil pour traiter les dossiers au niveaux des CPAM.
Pas du tout satisfait;Pouvoir envoyé des e mails parce que maintenant c est pas possible
Assez satisfait;plus de clarté
Assez satisfait;Quelle couverture peut on bénéficier , en cas d’accident en Suisse ?
Très satisfait;-
Pas du tout satisfait;Je pense vraiment que  le service médical manque beaucoup d'humanité et compréhension c'est un service injuste et impitoyable.
Pas du tout satisfait;Être plus clair lors des questions
Très satisfait;Bonjour Difficile à joindre par téléphone entre midi et 14h00
Peu satisfait;Donner plus de pouvoir et ou accès aux personnes qui nous accueille. Afin d’éviter des déplacements inutiles pour entendre , on transmet votre demande et vous allez recevoir le document. Cela fait 4 fois que je me déplace et toujours pas reçu le bon document pour ´Agrr. Et appelle 2 fois et toujours pas reçu le bon document
Très satisfait;Personnalisation des réponses aux questions en fonction de la demande .
Pas du tout satisfait;beaucoup de difficultés pour obtenir des réponses de manière compétente
Très satisfait;je sais pas
Peu satisfait;Ne pas attendre 3 mois pour être remboursé et donnerr vraiment ce que l on doit au bénéficiaire
Peu satisfait;"D'abord, mieux accueillir les Français retraités à l'étranger qui rentrent à Nancy après beaucoup d'années passées à l'étranger et ne sont plus au courant des formalités en France ; les accompagner dans ces formalités, leur expliquer comme ça marche, leur donner des messages clairs, précis, succincts et complets (et arrêter de les arroser avec des ""Nous prenons soin de vous"" ou autres affirmations hypocrites.."
Assez satisfait;supprimé le code  accé ,le faite qu'on a le mot de passe personnel.
Assez satisfait;Un accès plus facile a l'envoi des mails et possibilité de répondre, si réponse incomplète ou besoin de précisions
Assez satisfait;Remboursement trop long
Assez satisfait;bonjour, sur les remboursements feuille de maladie que cela soi un peut plus rapide étant donner que les appareils pour les cartes vital sont souvent hors service ( généraliste )  cela serait déjà une bonne chose merci a tous.
Peu satisfait;J’ai été en arrêt de travail et j’ai eu constamment des versions différentes concernant certaines procédures à suivre et informations notamment pour la fin. J’ai été complètement perdue, stressée et je n’ai pas eu l’impression que ma situation personnelle ait été prise en compte.  Grosses difficultés à vous joindre. J’ai été en contact avec 4 personnes entre le téléphone et en physique et chacune de ces personnes m’a donné une information différente concernant la procédure à suivre pour une reprise anticipée du travail dans une nouvelle entreprise. J’ai anticipé la situation aussi pour vous permettre de suspendre les prélèvements… aucune prise en compte. A ce jour j’ai reçu votre argent que j’attends toujours de vous rembourser…  J’ai du aller chez le médecin faire des papiers pour qu’on me dise qu’au final ce n’était pas utile. Une autre personne qui me dit qu’il faut que mon nouvel employeur fasse une démarche … aucune information similaire, chaque personne à sa version.  J’ai également fait une erreur sur un de mes arrêts. Je n’avais pas renseigné mon numéro de sécurité social à l’endroit indiqué mais il était marqué sur l’enveloppe contenant l’arrêt. De plus mon nom était indiqué sur la feuille. Je comprends que l’on doit bien remplir tous les champs sur la feuille mais il n’y a donc aucune tolérance ? Notamment face à des personnes malades.  Il suffisait simplement de reporter mon numéro sur la feuille ou de m’en informer. Je n’ai jamais été informée qu’il y avait une erreur. C’est moi après plusieurs semaines sans nouvelles qui me suis interrogée. J’ai du demander au médecin de refaire un arrêt + courrier pour vous expliquer la situation. Au final j’ai passé un peu plus de 2 mois sans paiement puisque mes arrêts de travail suivants ne pouvaient pas être pris en compte . J’ai très mal vécu cette situation en plus de ma situation de santé compliquée pendant 6 mois.  Je suis très déçue de vos services.
Pas du tout satisfait;Faire fonctionner leurs services, le compte améli est sans cesse indisponible et le compte de ma fille n'a jamais pu être créer malgré X courriers ce qui est très problématique quand nous avons besoin d'une attestation vitale pour remboursement anticipé de soins ou adhérer à une mutuelle. Depuis septembre 2023, ma fille doit fournir son attestation vitale pour sa mutuelle d'entreprise mais pas accès à son compte.
Assez satisfait;Exiger qu un médecin me prenne en charge. J ai des pathologies qui nécessitent un suivi. Je suis en invalidité 2.
Assez satisfait;c'est un peu compliqué pour moi, âgé et peu formé à l'utilisation des sites internet
Assez satisfait;RAS
Très satisfait;Juste un mail nous informant que l’arrêt de travail est bien réceptionné et pris en charge.
Assez satisfait;Il serait souhaitable d'avoir une messagerie mail clair sur notre compte Améli pour qu'on puisse échanger plus facilement avec nos conseillers sans avoir à poster des justificatifs dans vos boîtes aux lettres saturées de la place Jean Macé (Lyon 7e) Pouvoir envoyer des pièces justificatives par mail serait une grande avancée pour les usagers. Merci par avance pour la bonne volonté que vous mettrez dans cette amélioration !
Très satisfait;Rien à redire, je suis toujours tomber sur des interlocuteurs qui prenais temps quand je ne comprenais pas
Très satisfait;Non, tout va bien. Bonne efficacité
Assez satisfait;Bonjour,  Depuis 2009 je pratique journellement un traitement CMP (Champ Magnétique Pulsé) suite à une hernie discale fin 2009. Depuis ce jour, plus aucun problème de santé. Car le traitement CMP stimule les cellules du corps, favorise la circulation du sang, porte un effet anti-inflammatoire et antalgique et, surtout, renforce le système immunitaire. Pourquoi notre système de santé n'est pas sensible à ce système de soins ? Depuis 2015, je suis même consultant en tant que Autoentrepreneur pour la société SBS (Suisse Bionic Solutions) et, dans mon entourage, une quinzaine de personnes possède un tel appareil. Merci pour votre compréhension. En restant à votre disposition pour tout renseignements complémentaires concernant le CMP, recevez, Madame, Monsieur, mes très sincères salutations,
Peu satisfait;Joindre facilement un être humain au téléphone et pouvoir expliquer ma demande.
Assez satisfait;je verrai au moment où j'aurai besoin de réponse.
Peu satisfait;apporter des réponses plus rapidement aux problemes 6 mois pour obtenir la poursuite d un reglement d indemnités journalieres  c est scandaleux !
Peu satisfait;pour moi j'ai obtenu des reponses quand me déplaçant et je vais continuer. je précise que je n'ai pas encore de réponse pour  ma CSS  je me fais opérer du genou le 19 janvier  JE SUIS TRES INQUIETE
Très satisfait;J'ai rien à demander
Assez satisfait;Documents demandés jamais envoyés. ( voir vos derniers messages)
Peu satisfait;Un compte ameli plus facilement accessible  Des informations sur le fonctionnement de l’espace santé
Peu satisfait;"impossibilité"" d'accéder à mon compte améliorer mentionné lors d'une demande de remboursement : aucune réponse !"
Assez satisfait;Concernant le service invalidité : Possibilité de transférer des documents demandé lors de la déclaration de ressource. En général : Trouver facilement contact par messagerie.
Peu satisfait;avoir facilement mon comptece qui est loind etre ca
Assez satisfait;J’ai envoyé la totalité de mes documents concernant mon état de santé, je ne sais pas à l’heure d’aujourd’hui si vous allez me mettre en invalidité ou non car mon arrêt de travail n’est malheureusement pas prêt de prendre fin , mon épaule est toujours souffrant, ma RCH n’est plus stable d’énorme crise , les plages inflammatoire ont pris de l’ampleur et se sont étendu , cela a été observé lors du coloscopie basse, avec tout les complications les plus désagréable et dégradante qui s’en suivent avec cette foutu maladie dont je n’accepte pas qui me dégrade chaque jours … les benzodiazepine ont fait leurs retour dans mon traitement anti dépresseur et j’en passe …..
Assez satisfait;Si chaque agent contacté pouvait donner les mêmes renseignements ce serait plus simple. Lors de mon accident du travail l année derniere une agente a carrément été odieuse .manifestement madame n avait pas envie de travailler .... Etant assistante maternelle ce n est déja pas évident de communiquer nos documents qui doivent être expédiés . Avec des parents employeurs qui ne comprennent pas les démarches ....avoir un agent qui ne cherche pas a comprendre c est consternant .... heureusement lors de mon rdv , puisqu il a fallu que je me déplace .... j ai été accueillie par une agente très compétente et consciente du problème outrée que au bout de 3 mois tjrs pas d indemnités .Ensuite c est allé vite .De plus c est la seule sur les 4 personnes que j ai eu qui m a donné l imprimé multiple employeurs .....ce qui a facilité mon dossier lors de mon dernier arret . un grand merci à cette personne  compétente !!!!
Assez satisfait;Quelques fois il serait plus facile de pouvoir vous joindre au téléphone
Très satisfait;Répondre plus rapidement au téléphone
Peu satisfait;Poser question et demande par sms
Peu satisfait;J'ai mis plus de 4 mois pour arriver à changer le RIB de mon compte bancaire. Impossible à réaliser depuis mon espace internet avec une réponse type fournie inefficace. Impossible d'avoir un interlocuteur téléphonique. J'ai adressé deux courriers sans recevoir de réponse. J'ai finalement constaté la prise en compte de ma demande en consultant mon compte Ameli. J'aurai souhaité obtenir une réponse personnalisée et non pas une réponse type inutile.
Peu satisfait;Personne en situation de handicap donc j'ai besoin de transports sanitaires je ne le fais pas exprès et certains cabinets et places pmr inaccessibles
Très satisfait;Rien je suis satisfaite
Assez satisfait;,
Assez satisfait;Répondre au téléphone
Peu satisfait;Je n’ai pas eu le mail de renouvellement complémentaire santé solidaire je l’ai vu trop tard  ensuite quand j’ai refais la demande il y a eu un beug et souvent j’en ai hélas
Peu satisfait;Un moyen plus rapide de contact surtout par rapport au retour suite à une question
Très satisfait;pour moi tout est parfait
Assez satisfait;Accueil au public à améliorer par plus de personne au guichet
Pas du tout satisfait;Complément santé solidarité .
Assez satisfait;le site améli est améliorer. il n'y a pas de mail générique pour contacter la CPAM. on ne peut pas poser de question libre autre que figurant dans notre menu déroulant . compliqué de faire une DAT. les e-mails du compte améli quand je veux les consulter, ça fonctionne pas , t'a beau cliquer dessus pour l'ouvrir , ça s'ouvre pas.
Assez satisfait;- Difficulté à trouver comment enviyer un mail à la CPAM depuis le site ameli  - Dans le cadre d'une demande d'invalidité , délai très long (5 mois) depuis le contact avec une infirmière de la CPAM et la réponse par la convocation à rdv.
Très satisfait;globalement tout va bien. Continuez. Merci
Assez satisfait;Pour le remboursement des restes a charge a la CPAM (1 euro) pour ceux qui sont a 100 %  ne pas attendre 6 ans pour les réclamer comme ca a ete le cas pour mon mari LE FAIRE PLUS REGULIEREMENT Il n'est jamais très agréable de recevoir des sommes a rembourser coup sur coup  2 x 50 euros a 3 semaines d'intervalle  juste avant Noel  : (
Peu satisfait;Je ne contacte plus la CPAM suite a plusieurs contacts telephoniques (pour renseignements) il y a 3/4 ans ou j'ai eu a faire a des gens clairments incompetents mais surtout pas aimables et trop faineants pour aider. Donc, a quoi cela sert-il de contacter la CPAM de l'Aube ? C'est desagreable + il n'y a aucun resultat.  Et je ne mentionne meme pas les courriers (a propos d'un non remboursement) ou j'ai eu a faire a un 'responsable' qui m'a prise de haut, avec en plus le ton sec et desagreable. Ca n'etait vraiment pas necessaire. Quand allez vous apprendre a vous comporter 'civilement' avec les gens ??
Assez satisfait;Répondre
Assez satisfait;Cesser de penser que nous avons systématiquement une imprimante. Ne pas nous obliger à écrire plusieurs fois pour obtenir un dossier à remplir.  Nous permettre de vous contacter par mail.
Assez satisfait;J’ai été en arrêt maladie en septembre par les urgences du Havre suite à une morsure de chien , quand vous recevez les feuilles d’arrêt cela est marqué que c’est suite à une morsure, pour cela on devrait être contacté par la CPAM pour les démarches à suivre comme le faire préciser au médecin traitant, s’il y a d’autres arrêts travail , si on a des séquelles être informé.merci
Peu satisfait;Le retablissement de la messagerie rapide avec la CPAM telle qu'elle était auparavant. Il faut manoeuvrer sur plusieurs page avant de pouvoir envoyer un mail. Le chat est inutile car il ne répond jamais à la question posée et fait perdre un temps fou.
Très satisfait;Pour le moment je ne vois rien à améliorer.
Assez satisfait;Avec internet il n'y a plus vraiment de communication, j'hésite toujours à aller au siège!
Assez satisfait;sur ce questionnaire, la flèche bleue et blanche est située trop bas (on ne la voit pas : il faut descendre avec l'ascenseur pour passer à la page suivante). AmeliBot sert à rien car j'ai aucune réponse à toutes les questions que je pose et parmi les réponses pré définies par le site ameli, il n'y a pas le motif de ma question.  Il est impossible de vous avoir au téléphone et c'est bien dommage car on passe facilement 1h sur le site ameli pour pouvoir traiter une question. Dans votre questionnaire il est impossible de mettre 2 réponses pour la meme question
Assez satisfait;C'est une bonne chose de mettre en place des actions de prévention, nous en avons besoin.Le problème c'est que ces informations nous propose de contacter (pour mon cas SOPHIA) une plateforme qui adresse  une brochure   3 mois plus tard  puis plus rien  n° de téléphone saturé, reçu une nouvelle brochure pour les fêtes sans plus. Rencontré par une diabetologue/ nutitioniste ( RdV qui ne m'a pas convaincu bien fondé de cette consultation) qui devait me suivre en me fixant des RDV  depuis deux ans plus de nouvelle. Avec mon medecin traitant et une diététicienne  nous avons mis en place un suivi qui me convient et mon taux de sucre est bein  sous contrôle.
Assez satisfait;Me dire combien s'élèvera ma pension d'invalidité. Car je n'ai aucun revenu, autre que mes indemnités journalières depuis bientôt 2 ans. Et j'ai un enfant à charge
Très satisfait;RAF
Très satisfait;Pour moi ça va ne compliquons pas plus cette clarté
Assez satisfait;Ras
Très satisfait;Bonjour Trop d’attente quand on l’appelle le 39 49
Peu satisfait;tenir compte des demandes que je fait
Peu satisfait;Bonjour suite un arrêt de travail je trouve inadmissible que vous me prenez mes sommes que je vous dois sur mes indemnités journalières car voyez vous je perds déjà pas mal sur mon salaire global cordialement
Très satisfait;Tout est parfait, et si si y aurait un bémol, ce serait la difficulté de vous écrire par ocurriel sur le site Ameli. Bonnes fêtes de fin d'année. Bien à vous.
Pas du tout satisfait;Nous n'avons plus de contact avec le personnel et plus de renseignements sur les sujets concernant nos échanges
Peu satisfait;"-> Impossible d'avoir un conseiller au téléphone et délais longs; lorsqu'on arrive à en avoir une, pas d'infos utiles.  -> Souvent redirigé vers AmeliBot; robot qui ne comprend pas vraiment ce qu'on lui demande, car virtuel  -> Nécessité de documents diff"
Très satisfait;Aucune
Très satisfait;Moins d'attente pour avoir un conseiller au téléphone
Assez satisfait;Mieux nous rembourser je suis pas rochild
Assez satisfait;Pouvoir vous contacter par téléphone plus facilement et éviter des attentes trop prolongé es, par ailleurs je n'ai pas repéré l'icône pour transmettre les éventuels échanges
Pas du tout satisfait;Développement des compétences
Assez satisfait;Suivi à l'exposition professionnelle amiante insuffisante, encourager la participation des anciens auprès des jeunes. Recréer un service contrôle auprès des entreprises de
Peu satisfait;Pouvoir venir sur place pour s expliquer. Il edt dommage que l on ne puisse pas envoyer par mail nos documents.
Peu satisfait;Préférer ceux qui travail a ceux qui foute rien.
Assez satisfait;Faciliter l accès pour envoyer un mail.
Peu satisfait;je n ai pas pu ouvrir un compte au nom de mon epouse car comme nous n avons qu une seule adresse postale nous n avons qu une seule adreese mail et vous interdisez un second pour epouse avec la meme adresse mail que pour moi
Très satisfait;C mieux avec des courrier  car internet  c pas sur
Pas du tout satisfait;me régulariser, on me l'accès à ameli en prétextant que je suis enregistrée sur LYON. Lyon me dit que j'étais assuré chez eux jusqu'en 2000. marseille me redit que je suis assurée à Lyon... une demande d'investigation a été lancée, réponse : dans un mois environ... comment être satisfaits ? 3 mois de cafouillages sur les Bouches du Rhone (retour aux feuilles de soins papier) retard de remboursements 3 mois, mon problème en plus (c'est l'horreur !) 
Peu satisfait;Quand on a un soucis sur notre dossier elle devrait nous prévenir car si on ne demande pas on ne sait pas ce qui se passe
Assez satisfait;Suite à des problèmes de santée, je suis devenu épileptic. C'est dur à vivre et c'est une pression difficile à gerer quant on est au travail. Le travail pour un épileptic c'est pas facile....
Assez satisfait;Au départ mes indemnités été une somme tout les 15jours maintenant cette somme à baisser je ne comprends pas
Peu satisfait;J'aimerais recevoir un mail ou sms à chaque remboursement, lors de ma dernière visite chez l'ophtalmologiste, je ne sais même pas si j'ai été remboursée car je n'ai rien reçu sur mon compte bancaire
Très satisfait;Reconnaissance faciale plus de mot de passe à mémoriser
Peu satisfait;Être au service des assurés quand on se trouve en difficulté de santé et arrêter d’invoquer des motifs administratifs pour rejeter ou retarder des dossiers. Cibler des contrôles est pertinent mais ne pas considérer la grande majorité comme des fraudeurs. L’assuré est dans un no mans land administratif et n’est pas responsable des erreurs, retards, ou manquements administratifs des professionnels qui le prennent en charge.
Assez satisfait;Beaucoup plus de réactivité…
Très satisfait;Améliorer l'accès à tous mes documents médicaux faits par les professionnel de santé sur mon espace santé.
Peu satisfait;Deux consultations chez le Dr KHATTANE réglées par CB ( 69.26 euros le 19/10/1923 et 30.00 euros le 31/10/2023 ) et traitées via la carte vitale ont fait l'objet de d'une facture de soins de la MGEN mais ne concernant que les remboursements de la mutuelle     Par contre, malgré mes trois interventions via mon compte AMELI, je n'ai pas réussi à obtenir les décomptes sécurité sociale...D'prés les explications fournies les remboursement CPSS ont été retenus pour régler les participations forfaitaires...je comprends cela mais est-ce une raison pour ne obtenir un état de ces remboursements ?
Pas du tout satisfait;Nous donner la possibilité de vous contacter par téléphone et/ou mail sans passer par un robot qui ne comprend rien. J'aimerais également pouvoir vous envoyer des documents par mail ou internet sans passer par la Poste.
Assez satisfait;Prendre en considération la situation personnelle ald etc
Peu satisfait;Pouvoir transmettre l'ensemble des documents en ligne  Dans mon cas particulier où je suis salariée et entrepreneur individuel, il a fallu que je me batte pour obtenir mes indemnités, c'est-à-dire pour obtenir mes droits et ce n'est pas normal. J'ai été dans une situation financière un peu compliqué en post grossesse, ce qui m'a stressée, j'ai passé je ne sais plus combien de coups de téléphones à vos services sans obtenir aucune réponse et surtout aucune indemnité !  Heureusement, je viens d'être indemnisée en tant qu'indépendante (5 mois et demi après mon accouchement alors que l'indemnité forfaitaire est normalement versée pour moitié dès le départ...)
Peu satisfait;Développer et faciliter les contacts téléphoniques avec des délai d'attente réduits à 1 ou 2mn et non pas 20 ou 30mn pour obtenir une information, une réponse.
Assez satisfait;Ne pas appliquer de retenues pour les personnes en ALD
Assez satisfait;Nous habitons dans l'Eure (désert médical). Notre foyer comporte un enfant de 6 ans, mon mari qui a une maladie pro (handicap +20%) et moi je souffre d'asthme.  Nous n'avons plus de médecin traitant et je ne trouve pas d'aide pour résoudre ce problème. Cela fait depuis 6 mois que nous n'avons plus de médecin et plus d'un an que je recherche en ayant établi un périmètre de plus de 20km autour de chez nous.  La CPAM devrait prévoir un service pour accompagner les personnes avec des maladies chroniques ou des enfants en bas âge dans le cadre des désert médicaux. De plus je souffre d'asthme allergique qui s'était calmé il y a 6 ans mais reviens en force depuis 1 ans et je suis en surpoids. Je n'ai JAMAIS reçu d'offre de vaccination alors que je souffre de comorbidité. Peut être revoir les critères ?
Assez satisfait;Accessibilité au site
Assez satisfait;RAS
Assez satisfait;Pouvoir effectuer des remboursements de soins via le site amelie, qui faciliterai la vie de chaqun, rapidité des remboursements.
Pas du tout satisfait;Avoir une dette en compte n'est pas pour satisfaire le patient, surtout votre façons de l'annoncer est peu orthodoxe ? Attendre que l'on tombe malade, que l'on aille voir un spécialiste d'une visite de 80,00 €, et surprise on ne vous rembourse pas ? sous prétexte que je suis en compte de 1000 € de découvert, et que je n'ai pas cotiser en 2020, vous êtes la honte de la France ?
Peu satisfait;Plus d'empathie avec un site plus aisé à utiliser
Assez satisfait;Lire les informations précises donnees par le medecin traitant avant de refuser une ALD
Très satisfait;Faciliter l’envoi d’un mail  Permettre  de pièces jointes
Assez satisfait;pouvoir visualiser les cotes part notamment des frais pharmaceutiques plus rapidement et plus explicitement (plus de détails sur les différents remboursements car mon organisme complémentaire pour le remboursement des frais pharmaceutiques que j'ai réglé me demande le montant de prise en compte par la CPAM.
Très satisfait;Rien a dire bon service
Assez satisfait;Faire un audite sur la satisfaction clientèle, veut simplement dire qu'au lieu de traiter les dossiers des assurés, vous perdez du temps Il serait bon et astucieux de vous mettre à la place des conseillères au standard qui assaillent de répondre du mieux qu'elles le peuvent!!!!!!!!! trop d'état major! tue l'état major ??? Dans AMELI rien n'est sectorisé, il serait bon d'indiquer toutes les demandes dont AMELI peut répondre !! cela évite des appels qui n'aboutissent à rien sauf du désagrément pour le client que nous sommes et vos collaborateurs qui s'en prennent plein la tête. ce qui n'est pas mon cas!! je reste courtois étant un ancien administrateur de la CPAM je remarque que j'ai quitté ce poste depuis 20 ans , désolé mais rien n'a changé, même lourdeur pour traiter des dossiers bien à vous bonnes fêtes de fin d'année
Assez satisfait;Ce qui serait intéressant c les indicateurs pour la kine comment sont payés les prestations.  Merci
Assez satisfait;Recevoir mon relevé fiscal, que je ne reçois jamais. Et ce n'est pas faute de l'avoir signalé.
Très satisfait;Surtout le problème pour accéder aux sites. Merci
Assez satisfait;étant en ALD et au stade terminal je ne vois pas pourquoi toutes mes dépenses en soins ne sont pas pris à100%  ainsi que les forfaits à ma charge. je dois toujours avancée certaines dépenses.
Assez satisfait;Amélioration du site AMELI
Assez satisfait;Pas de retour vis à vis de ma maladie professionnelle….
Assez satisfait;Je n ai reçu aucun versement financier, depuis le14/10/2022, dates de mon arrêt de travail. J ai un cancer, et je comprends pas pourquoi je ' ai droit à rien.
Assez satisfait;J'ai eu beaucoup de difficultés pour obtenir le emboursement des frais d'entretien et de fourniture des piles de mes aides auditives. Pas de réponse à mes courriers, accusation de me faire rembourser é fois les mêmes prestations. J'en ai été très choqué alors que l'erreur provenait de la CPAM. Je considère que dans ce cas la CPAM a fait preuve d'un amateurisme regrettable.
Très satisfait;Traitement de dossier plus rapide
Assez satisfait;ras
Assez satisfait;Permettre à nouveau l’accès au envoi des feuilles de soin par le site internet
Très satisfait;Il serait utile de pouvoir transmettre les feuilles de soins papier par mail
Assez satisfait;Être plus rapide
Assez satisfait;plus de prise en charge des soin pour les gent qui cotisse que pour les migrant et les bon a rien
Assez satisfait;Remboursement de 13 euros pour des médicaments avec tous les documents fournis, toujours pas remboursé depuis le mois de septembre...il faudrait être un peu plus rapide..
Assez satisfait;La possibilité de vous joindre par messagerie comme auparavant
Très satisfait;renseignement mutuelle solidaire merci
Pas du tout satisfait;Que les demandes d'evasan soient mieux prises en compte ue les réponses soient rapides. Inhumain voilà comment résumer le service. Impossible à joindre et incapable d'avoir le moindre renseignement fiable, totalement  ocltute concernant ce type de demande.
Assez satisfait;La CPAM ne m'a jamais réclamé les documents qui manquaient pour le paiement de mes indemnités journalières. J'ai dû appeler au bout d'un mois et demi sans indemnités. Sinon, pouvoir insérer les documents manquants via le site AMELI simplifierait les choses
Assez satisfait;Changer ma carte vitale qui date de plus de 20 ans, (24 ans pour être exact) j'ai l'application mais personne n'est équipé pour accepter la carte vitale dématérialisée.
Peu satisfait;Lire correctement les messages envoyés cela éviterait des réponses qui n'ont rien à voir avec la demande. C'est quasiment systématique et l'on doit reformuler souvent plusieurs fois et passer par une réclamation
Assez satisfait;Donner plus de prévention pour les maladies professionnelles plus de suivis
Très satisfait;Je suis très satisfait notamment des messages de prévention vaccins etc. Et de la rapidité des remboursements. Merci.
Assez satisfait;Difficulté de connexion (apparemment 2 comptes ameli ne peuvent pas être enregistrés sur un même ordinateur) - Je n'ai pu accèder à mon compte AMELI que le lendemain de mon appel. La CPAM devrait éviter de faire la promotion de certaines pratiques médicales dangereuses la CPAM ne devrait faire aucune publicité de quelque nature que ce soit le business ne devrait pas toucher la Sécurité Sociale, il faut se recentrer sur votre coeur de métier Concernant les remboursements optiques, la Sécurité Sociale se moque de ses bénéficiaires
Très satisfait;Améliorer l'accueil téphonique
Peu satisfait;Mon dossier d' indemnités a été  traité 3 mois après mon arrêt de travail pour 21 jours d' arrêt maladie  suite mon handicap  Je pense pas avoir abusé de mon arrêt, pour moi c' est un manque de formation de vos conseiller  C, est  au bout du troisième contact qu' une personne m' a expliqué le system d' internet pour envoyé mes documents manquants  Cordialement  
Pas du tout satisfait;Traiter plus rapidement les Dossiers, en ce qui concerne le medcin conseil etre a l ecoute de la douleur et de la difficulties a se mouvoir du patient.
