RDV;Quel est votre niveau de satisfaction global suite à ce rendez-vous ?;Avez-vous des remarques ou suggestions ?;;
physique;Très satisfait;Résoudre certains problèmes sur l’application Amélie n’est pas toujours facile, peut-être simplifier et améliorer ce point;;
physique;Pas du tout satisfait;Changez de metier;;
physique;Peu satisfait;La personne ne pouvait me donner de réponse, juste transmettre ma demande d'explications;;
physique;Très satisfait;Après plusieurs demandes je trouvé une personne gentille et compétente qui m as aider et remercie à lui mon problème c est vite résolu dommage je ne connais pas son nom pour lui remercie;;
physique;Très satisfait;Délai d'attente pour avoir 1 rdv moins long;;
physique;Peu satisfait;On devrait pouvoir contacter les personnes compétentes directement plutôt que passer par des intermédiaires qui ne saisissent oas forcément le problème quand c est compliqué;;
physique;Assez satisfait;Pour les personnes d'un certain âge l'évidence est assez complexe.;;
physique;Très satisfait;Très satisfait de l'aide apportée par les jeunes du Service Public.;;
physique;Très satisfait;Un premier rendez-vous téléphonique le 12/03/2024 était très décevant car de fausses informations m’ont été donnees ce qui a encore plus ralenti mes démarches.;;
physique;Très satisfait;Un regret: l’ensemble de ces démarches (accès compte Ameli) auraient pu être guidées et réalisées en ligne et par telephone, ce qui m’aurait évité un important déplacement (Tressin Tourcoing 35 mn de voiture);;
physique;Très satisfait;Pas de commentaire. Très satisfaite.;;
physique;Pas du tout satisfait;Personne ne répond au 3646 même en appelant à différents horaires et la personne qui m’a reçu m’a dit qu’elle n’était pas compétente dans l’invalidité comment faire?;;
physique;Très satisfait;Très bonne accueil agent très agréable et professionnel;;
physique;Assez satisfait;Md loisel Myriam ma bien aider au centre medico social rue kageneck elle est mon assistante sociale;;
physique;Très satisfait;très satisfait merci;;
physique;Pas du tout satisfait;Trop d'intermédiaires pour résoudre des problèmes qui peuvent se régler plus rapidement,et peu d'empathie.;;
physique;Très satisfait;Je n’ai pas encore de retour car ils font compter trois semaine;;
physique;Pas du tout satisfait;Pas de solution proposée pour régler problème;;
physique;Assez satisfait;l agent qui ma recu a revoir etre plus a l ecoute manque de clarte sur les reponses;;
physique;Peu satisfait;L’agent qui m’a reçu lors de mon rendez-vous n’a donné des explications contraires;;
physique;Très satisfait;Encore une fois je souhaite recevoir le document indiqué par courrière. Merci par avance;;
physique;Assez satisfait;Moins du temps attendre;;
physique;Assez satisfait;Le rendez vous était prévue pour 14h45, la porte était fermé et une personne s’est présenté pour 15h. La ponctualité se doit d’être respecté.;;
physique;Assez satisfait;L'agent n'était pas très aimable et de plus son collègue est rentré au bureau pour parler avec elle pendant notre rdv;;
physique;Très satisfait;Non pas du tout, ça c'est très bien passé et j'ai été très satisfaite de ma démarche et du service.;;
physique;Pas du tout satisfait;Personnel insuffisamment formé pour répondre;;
physique;Très satisfait;le contact humain est mille fois mieux qu'un robot;;
physique;Très satisfait;merci pour les renseignement;;
physique;Pas du tout satisfait;déjà expliqué lus haut;;
physique;Très satisfait;Personnes très sympa;;
physique;Pas du tout satisfait;"Il serait fort agréable de ne pas avoir l air de déranger. 
De plus rejeter la faute sur ses collègues ne règle pas mon problème.";;
physique;Très satisfait;Difficultés énormes pour accéder à la prise de rendez-vous... Je vais baisser les bras, trop compliqué;;
physique;Très satisfait;J4ESP7RE AVOIR UNE R2PONSE POSITIVE DE MA DEMANDE QUI EST TR2S IMPORTANTE POUR POUVOIR CONTINUER 0 PRENDRE SOIN DE MA SANTE MERCI BEAUCOUP DE L4ACCEUIL  ET DE M 4AVOIR 2COUTER;;
physique;Très satisfait;"La boîte dédiée aux documents individuels et à l'intérieur de la Caisse d'assurance maladie de l'agence de Gennevilliers, obligé de déranger le gardien d'ouvrir la porte pour les déposer 
Ma proposition c'est d'installer une boîte à l'extérieur pré de la porte accessible à tout le monde 
Cordialement";;
physique;Très satisfait;non ok;;
physique;Assez satisfait;Complément satisfait le jour où je serai remboursé;;
physique;Très satisfait;Tout les agents que ce soit saint Lo ou carentan sont des personnes à l écoute de l assuré et très agréable ainsi que les médecins conseil;;
physique;Peu satisfait;La posture professionnelle reste à améliorer et leur reponse à des questions précises reste très vague !!;;
physique;Très satisfait;"Dossier en attente de réponse 
 Et je suis arrivée a l avance , j ai du attendre sous la pluie que ça ouvre,j aurai au moins apprécié de rentrer dans le sas a l abri";;
physique;Peu satisfait;Il serait souhaitable que les dossiers soient traités en temps et en heure, il m’a fallu 3 rdv plus échange de mails après une attente de 3 mois pour traiter ma demande de cure;;
physique;Très satisfait;10;;
physique;Peu satisfait;"très différent de mon rdv du moi dernier niveau amabilité, personne peu souriante et très sèche dans ses réponses. vite expédier, je devais déranger avec ma demande! une heure de route aller retour pour partir avec ""prenez rdv a Audruicq la prochaine fois, c'est moins loin pour donner vos papiers"" comme réponse, super!";;
physique;Très satisfait;Par contre, j' ai du contacter la CPAM car pour mes indemnités maladie, il manquait des bulletins de salaires (12 au lieu de 3) et je n'ai pas été informé de ma situation par la CPAM ?;;
physique;Pas du tout satisfait;Personne très désagréable;;
physique;Assez satisfait;L'attente en extérieur après avoir bipé l'interphone est très impersonnelle, bien dommage qu'il n'y ait plus aucun accueil physique en attente de notre rdv;;
physique;Très satisfait;Non franchement;;
physique;Pas du tout satisfait;La personne qui devait me recevoir a refusé en me claquant la porte au nez et en m'ignorant lorsque je m'adressais à lui;;
physique;Très satisfait;"Bonjour, 
Il serait mieux d’embaucher une ou quelques personnes pour apporter plus de renseignements et même pour aider les personnes qui ne savent pas utiliser les ordinateurs. 
Merci cordialement";;
physique;Assez satisfait;Il est aurait été bien que je sache quel document emmener pour éviter le manque d'amabilité de la personne qui m'a reçu...;;
physique;Assez satisfait;Pouvez vous renponse plus vite!;;
physique;Peu satisfait;"Le jour de mon rendez vous , j’étais seul client pour je ne sais pas pour combien de guichets .
Beaucoup de choses à améliorer.";;
physique;Assez satisfait;8 /;;
physique;Très satisfait;J'ai étais reçu par une personne très très sympathique et à résolu très vite mon problème;;
physique;Très satisfait;Le RDV en face à face est plus satisfaisant car il permet de gagner du temps en éliminant les malentendus.;;
physique;Assez satisfait;Nous avons été bien reçu par la conseillère;;
physique;Peu satisfait;Mon problème a été rapidement et efficacement résolu grâce au rdv téléphonique que j'ai pris suite à mon rdv physique. Cependant je ne peux pas à en vouloir à la personne à l'accueil de ma caisse, elle a fait le nécessaire à son niveau.;;
physique;Très satisfait;Non j'ai pas de suggestion l'appel s'est passé très très bien j'ai eu mes réponses que j'avais demandé merci beaucoup pour votre confiance cordialement;;
physique;Très satisfait;Diversifier/augmenter le choix des motifs de demande de RDV sur le site Ameli;;
physique;Assez satisfait;Non;;
physique;Très satisfait;Très bon accueil , correspond à notre attente , personnel très gentil;;
physique;Très satisfait;mon rdv etait telephonique;;
physique;Assez satisfait;L'Agente été très courtoise et souriante du début jusqu'à la fin de l'entretient.;;
physique;Pas du tout satisfait;Pas d'agent compétent pour les questions soulevées.;;
physique;Assez satisfait;beaucoup d attente le contact un peu severe;;
physique;Très satisfait;"La dame très grande compétence 
D’une gentillesse …
Quelle expérience";;
physique;Peu satisfait;je recommanderai le RDV à l'accueil car on a pas d'autre choix. Cependant elles n'ont pas tous les postes, ne sont pas en mesure de répondre à tout à la place des autres employés qu'on ne peut pas voir ni contacter;;
physique;Très satisfait;"Mon agente très competente et gentile.
Par contre, pour le même motif que j'ai pris mon Rdv une jeune fille de l'accueil m'avait donné l'année dernière une mauvaise réponse et une deuxième femme toujours de l'accueil aussi très désagréable et impatiente. Les hommes de l'accueil toujours plus gentils selon mon expérience à l'accueil de l'agence d'Amiens. Merci.";;
physique;Très satisfait;Personne très aimable;;
physique;Assez satisfait;Pour l'instant non;;
physique;Très satisfait;AMABILITE ET EFFICACITE DE LA PERSONNE QUI M A ACCEUILLIE;;
physique;Peu satisfait;Lors de la rencontre j'aurais préféré, contenue de mon handicap de malvoyante de  m'aider à réaliser ma demande de connection sur le site AMELI que je n'ai pas réussi à me connecter j'ai du a faire appel à une personne du CCAS . J'ai découvert aujourd'hui que mes demandes de documents ont été faites. Merci;;
physique;Assez satisfait;"J'aurais aimé réalisé cette démarche en ligne mais à chaque renouvellement de ma CMU c'est impossible 'oups il y a eu une erreur""";;
physique;Très satisfait;Je tiens à préciser la gentillesse et le professionnalisme du mr qui s est occupé de min cas et à tout réglé en direct , après 5mois d attente je le remercie encore!;;
physique;Assez satisfait;Dossier long à traiter . Retour sur ma demande environ 12 mois pour une réponse;;
physique;Très satisfait;La personne a l'accueil a été extrêmement courtoise et polie. La gestionnaire de mon dossier a répondu à toutes mes problématiques avec le sourire et très rapidement.  Elle m'a indiqué la démarche à suivre et j'ai même été rappelé pour confirmer la prise en charge de mon dossier. Un grand bravo et merci aux personnes en charge de mon dossier.;;
physique;Très satisfait;"Elles étaient  deux et ont su m'expliquer  à mon niveau. 
Elles étaient  à mon écoute. 
Merci  en général  je suis toujours  bien reçu. Très professionnel et  à  lecoute";;
physique;Très satisfait;Personnellement  je n'est aucun reproche à faire je suis toujours bien reçu  les personnes sont gentilles;;
physique;Très satisfait;Important d'avoir une personne physique en face de soii qui fait preuve d'écoutenet qui dispose d'un sens d'analyse de la situation;;
physique;Très satisfait;Non c'est  parfait  .;;
physique;Très satisfait;Non;;
physique;Très satisfait;Merci à l’agence de st jean de luz, très accessible contrairement à bayonne, rdv disponible rapidement contrairement à Bayonne;;
physique;Très satisfait;Non;;
physique;Pas du tout satisfait;Au vue de la situation financière que vous m avez mis . Je pense que vous êtes pas a écoute des gens . 1 mois sans ressource 15 jours ou je mange 1 repas part jours en vue de mes problème de santé cela n arrange pas ma santé . Alors je vous dit merci de me laisser sans la merde .;;
physique;Très satisfait;"La conseillère qui m'a reçue, était vraiment très professionnelle, sympathique, avenante et empathique.
Dommage que ce ne soit pas le cas du conseiller qui était dans un autre box, qui brassait de l'air et qui répondait à ses appels téléphoniques personnels reçus sur son smartphone alors qu'il était en rdv avec une personne à l'accueil.";;
physique;Peu satisfait;Il est inutile de se rendre physiquement dans une antenne Ameli puisque tous les documents seront retransmis au siège donc autant les poster directement au siège. Merci de fermer vos antennes locales elles ne servent à rien nous ferons ainsi des économies.;;
physique;Très satisfait;Très bon accueil;;
physique;Très satisfait;Bjr la réelle prise en charge à 100% est fictive notamment dans le traitement de la bcpo...!!! Même  avec la complémentaire  de la Sécurité  Sociale...;;
physique;Pas du tout satisfait;Embaucher du personnel qui tien ces paroles et qui son compétant + embaucher plus de monde pour éviter tous ces délais de traitement qui nous rende la vie intenable !!!;;
physique;Très satisfait;Trois visites physiques pour avoir une solution à mon problème !;;
physique;Très satisfait;La possibilité de prendre un Rdv urgent à été très compliqué / le renvoi systématique par téléphone sur un autre service m’a beaucoup frustré car une sensation d’inconsideration était présente. (Femme einceinte depuis 7 mois sans prise en compte de ma demande dés le 1er mois!) par contre le RDV physique a été très pertinent et très efficace. Il faut laissé la possibilité de pouvoir avoir un Rdv physique même si il est de + de 10 jours. Cela nous aurait permis de clôturé ce dossier 6 mois avant….;;
physique;Très satisfait;Enfin une personne compétente en face de moi, non comme au téléphone qui m'a mal répondu et mal considéré.;;
physique;Très satisfait;L'agent (une dame) a été très accueillante, professionnelle.;;
physique;Très satisfait;Non;;
physique;Très satisfait;"Mon RV était à l'heure de midi, donc il n'y avait presque personne. Sinon, le temps d'attente est plus long;";;
physique;Très satisfait;Je trouve très important de pouvoir dialoguer avec les personnes compétentes. MERCI;;
physique;Très satisfait;"La personne a été très aimable et très agréable une personne très sympathique et simple 
Merci pour votre aide";;
physique;Assez satisfait;Beaucoup de temps d'attente auparavant pour le traitement de ma CMUC et j'attend toujours la suite apres ce rdv pour l'avoir et bien me soigner.J'ai confiance en ma Caisse d'Assurance donc ça va aller.Grand merci. Monsieur DOHNOU Osmond.;;
physique;Peu satisfait;La personne n' était pas souriante et des laisser passes par rapport au public pas très correct;;
physique;Assez satisfait;Il serait bon que le traitement du dossier suite au RDV soit plus rapide;;
physique;Très satisfait;Très professionnel;;
physique;Très satisfait;Très satisfaite de la personne qui m a reçu part contre à l accueil ce n est pas terrible c est pas toujours sympa;;
physique;Très satisfait;Il est important que la sécurité sociale reste ouverte et que l on puisse prendre un rdv dans cet établissement;;
physique;Très satisfait;Si seulement le personnel au téléphone pouvait être aussi compétent que la personne que j'ai vu le jour de mon rendez vous croyez moi que les dossiers de la CPAM  avancerait plus vîtes;;
physique;Assez satisfait;Pas de toilette pour femme enceinte.;;
physique;Très satisfait;avant ce rendez-vous j'étais venue 3 fois, et la matmut n'étais jamais satisfaite, mais je les soupçonne d'essayer de ne pas payer... mais comme bonne chose, le kiné qui m'a fait une belle vacherie en déposant les 2 chéques qu'il est venu chez moi me demander, et que j'ai fait car il m'a juré ses grands dieux qu'il ne les déposerait que quand je serais remboursée, je me suis aperçue, devant la dame de la CPAM, qu'il avait compté 15 déplacements alors que les 4 premiers o nt été faits chez moi, les 11 autre je suis allée à son cabinet.....je ne vais pas lui pardonner;;
physique;Assez satisfait;Il faut mettre sur Amélie un moyen d'envoyer directement nos documents d'arrêt de travail numériquement ou le rendre plus accessible s'il existe déjà;;
physique;Très satisfait;je suis tres satisfait de l'accueil et des réponses que j'attendais...;;
physique;Très satisfait;C'est la première fois que je suis aussi bien reçue et écoutée!!!;;
physique;Assez satisfait;le plafond de mes ressources me semble pas à la juste valeur;;
physique;Pas du tout satisfait;On attendait dehors soit disant manque de personnel pour des réponses qui ne servaient à rien;;
physique;Très satisfait;Très bien reçu, conseillé, très confiant pour le suivi de ma demande;;
physique;Très satisfait;Non;;
physique;Assez satisfait;Non j'aimerais que qu'il continue comme ça.;;
physique;Très satisfait;PERSONNE CHARMANTEB ET COMPTETENTE;;
physique;Très satisfait;Il est nécessaire d'avoir un échange physique avec un interlocuteur compétent pour sortir de l'attente et de l'incompréhension. Ça ne règle pas les dysfonctionnements mais ça permet d'engager les actions nécessaires pour débloquer les situations.;;
physique;Très satisfait;Veuillez suggérer de bonnes pièces manquantes pour pouvoir répondre au besoin au rendez-vous. Car dans mon cas, l'agent qui m'a téléphonée ne précise pas très bien de bonnes informations.;;
physique;Très satisfait;Merci de votre attention;;
physique;Peu satisfait;J'aimerais avoir mon remboursement rapidement tout simplement.;;
physique;Pas du tout satisfait;Il n’y a aucune disposition concernant une personne de contact, une adresse e-mail ou un numéro de téléphone. Le système est extrêmement inefficace et inutile, nécessitant plusieurs rendez-vous pour résoudre le problème.;;
physique;Très satisfait;ponctualité;;
physique;Peu satisfait;Je veux uniquement dire que cela crée un stress ce qui n'est pas bon pour la maladie. J'ai un scanner demain, je suis sous thérapie ciblée et peut etre en fonction de l'évolution de la maladie je serais sous chimiothérapie pure. Je ne vous dis pas trop. Bien cordialement.;;
physique;Très satisfait;Pas concernée par ces questions, c'était un rdv téléphonique;;
physique;Très satisfait;il y a quelaue temps j avais  envoyé un courrier et n'ai pas eu de réponse;;
physique;Très satisfait;Non;;
physique;Pas du tout satisfait;Plus 1 année accident de travail puis maintenant arrêt de travail  toujours le même  problème  afin de déposer mes documents;;
physique;Assez satisfait;pas pour le moment , j'attends la suite d'abord comment va être respecter mes droits légitimes piétiné depuis mon invalidité ou de mon accident du travail, de mes rappels de l'IJSS non versé depuis 2003 et des compléments journalières...;;
physique;Très satisfait;Non;;
physique;Très satisfait;Agent de l'agence de Pont-l'Abbé très à l'écoute des usagers et très compétente.;;
physique;Très satisfait;"Merci beaucoup pour votre accueillir et pour votre écoute malgré que je suis étrangère et je maîtrise pas la langue française mais, vous m'écouter et vous me bien expliquer.
Merci";;
physique;Très satisfait;Beaucoup d'écoute et d'empathie avec de précieux conseils, vraiment très satisfait.;;
physique;Assez satisfait;Je souhaitais refaire ma carte qui est usagée, mais c'est très long puisqu'il n'y' a qu'un centre qui les refait et comme j'en ai régulièrement besoin j'attendrai;;
physique;Très satisfait;J'espère  que le fait de redonner un complément de dossier sera traité par la même personne et surtout que rien ne se perde;;
physique;Peu satisfait;Délai d'attente avant entretien malgré arrivée 10 minutes avanr RV comme demandé sans tenir compte des difficultés  des à  mon âge.;;
physique;Très satisfait;Personnel agreable  et  reponse  complète a ma demande;;
physique;Pas du tout satisfait;meilleure coorddination entre les services et le service du centre d appel  ils sont perdu;;
physique;Assez satisfait;Personnaliser davantage les rapports patient/ agent (nom, n° téléphone, etc..);;
physique;Assez satisfait;Vous me demandez de répondre dans le cadre d'un rdv physique obligatoirement alors que j'ai eu un rdv téléphonique !!!;;
physique;Assez satisfait;Non;;
physique;Peu satisfait;J'ai eu plus de réponse en envoyant un email;;
physique;Assez satisfait;N’ayant pas eu à me resservir de la carte j’ignore si le problème est résolu;;
physique;Assez satisfait;Je déplore que du faîte d'avoir un compte Amalie je ne puisse recevoir aucun document par courrier, seulement  par mail ce qui est un problème pour moi n'ayant pas d'imprimante pour sortir le document.;;
physique;Très satisfait;"La conseillère qui m’a reçue a été bienveillante, à l’écoute et de très bon conseil. Un grand merci.
Et bravo au vigile qui doit répondre à plusieurs demandes à la fois, garder son calme devant des personnes peu aimables et qui lui mettent la pression.";;
physique;Très satisfait;Aucune indication à l'accueil pour trouver le lieu physique exact du rdv. Un panneau indicateur ou un moniteur tv serait adéquat. Il a fallu que j'interpelle une personne de la CPAM pour m'indiquer le lieu d'attente.;;
physique;Très satisfait;La conseilliere m'a très bien conseillé pourquoi que qu'il fallait renplir m'on dossier c se que j'ai fait avec succès et javais ramener les justificatifs nécessaires voilà tout.;;
physique;Assez satisfait;RAS;;
physique;Très satisfait;Non;;
physique;Peu satisfait;Problème toujours pas résolu obligation de poser encore un jour de congé pour régler le souci !!!;;
physique;Très satisfait;continue comme ca;;
physique;Assez satisfait;prevenir les gents qu il faut attendre devant la porte que l on vienne nous chercher vu que c est fermè;;
physique;Très satisfait;RAS;;
physique;Très satisfait;Oui. De ne pas laisser le public dehors comme sa a l'avenir, nous ne méritons pas sa quand ils ont pas rdv, ce n'est pas de leur faute si ils y arrivent à naviguer sur le net, qui n'est pas toujours à leur service. Il y a des des pannes tout le temps.;;
physique;Très satisfait;Bonjour,bonne écoute,a bien su m'expliquer le protocole de ma demande, agréable merci cdl;;
physique;Très satisfait;Le monsieur ce qu’il a m’accueille il est vraiment très gentil je suis très satisfait merci beaucoup, continuez toujours;;
physique;Très satisfait;Mettre plus de créneaux horaires à disposition sur Barentin;;
physique;Très satisfait;Agent qualifié et à l'écoute;;
physique;Très satisfait;J ai étais vraiment bien reçu et vous en remercie. Cordialement.;;
physique;Très satisfait;Non;;
physique;Très satisfait;non a par qu'il faudrait mettre Cure thermale pour pouvoir cocher une case pour prendre rendez vous;;
physique;Assez satisfait;accepter les justificatifs sur clé USB;;
physique;Très satisfait;J ai été ce matin directement sur place et je peux vous assurerez que je préfère l accueil par téléphone. Les personnes au téléphone son bien plus agréable .;;
physique;Peu satisfait;Prendre en compte les demandes des assurés d’autant plus que j’ai fourni tous les documents nécessaires au traitement de ma demande et validés par l’agent qui m’a reçu.;;
physique;Très satisfait;Aucune très bien reçu;;
physique;Très satisfait;Merci pour votre accueil ét votre réactivité;;
physique;Pas du tout satisfait;Le système informatique mène indubitablement dans qqs cas à des impasses que les agents humains de la cpam ne savent plus débrouiller. Il faut indubitablement que ces cas soient résolus par des humains mais ceux ci ne semblent plus formés qu à faire vivre le logiciel, pas à comprendre les situations que le logiciel peine à traiter. Mais si vs vs servez de ma repos e pour augmenter le traitement logiciel et ne rien faire pour améliorer la formation de vos agents alors, vs êtes pire qu eux. Salutations distinguées;;
physique;Assez satisfait;Beaucoup de temps de perdu pour pas grand chose;;
physique;Très satisfait;excellent contacte avec la personne qui m'a reçu et très précis;;
physique;Pas du tout satisfait;"Je suis déçu du response de l'agent à Lorient je me suis déplacer pour rien. Cedt pour un remboursement des soins long durée rhumatoïde et j'ai transmis toutes les pièces 2 fois dans un an et c'est pas résolu avec les dossiers soin étranger rempli. J'ai pas eu une response satisfaisante. On m'appel quand je suis en formation. Je passais mon temps à faire les dossiers et envoyer pour avoir des responses négatives. 
Mme Madhumattee Sohodele Corbe";;
physique;Très satisfait;Les motifs répertoriés pour la prise de RV sont très limités, on doit donc en sélectionner un qui n'est pas le nôtre;;
physique;Peu satisfait;Donner un rdv téléphonique et par la suite me le changer en rdv en agence sans me demander mes disponibilités et un manque de respect de plus dans le traitement de mon dossier car j'ai dû encore perdre des heures de travail pour me rendre à un rdv imposé;;
physique;Très satisfait;Non tout etait parfait et rapide;;
physique;Très satisfait;Accueil très agréable merci;;
physique;Très satisfait;Conseillère très agréable. Difficile d'obtenir un RDV;;
physique;Peu satisfait;"On nous préviens par téléphone la veille d être au rdv 1/4h avant j était 1/2h avant et j ai attentu presque 1heure c est du pas possible....
Avec le parcmetre à aller surveiller pas normal";;
physique;Pas du tout satisfait;Pas de tout informé de la non réception des arrêts de travail normalement télétransmis, obligé de tout renvoyé un duplicata par courrir postal;;
physique;Très satisfait;Non pas du tout;;
physique;Très satisfait;RAS;;
physique;Peu satisfait;Pourrait on revenir au système précédent avec plus de contact humain qui permet de solutionner directement lors d'erreur sans provoquer d'interruption?;;
physique;Pas du tout satisfait;J ai pas les mots c est tellement honteux et deshumanisé...;;
physique;Assez satisfait;il nia pas eu d'accueil physique malgré mon insistance,tout ce fait par un conseiller au téléphone et malgré moi;;
physique;Très satisfait;Après des semaines de messages et d'appels, personne ne comprenait mon problème et ne cherchait à le résoudre. Suite au rdv physique, tout à été réglé quelques jours après.  Un grand merci;;
physique;Assez satisfait;Fermer la porte lorsqu'on est reçu en RDV pour plus de confidentialité;;
physique;Très satisfait;La personne qui m'a reçu est très compétant, très aimable et près à faire tout ce qu'il faut pour solutionner les problèmes;;
physique;Très satisfait;Aucune;;
physique;Très satisfait;"Je regrette que ma demande ne puisse se faire directement en ligne.
Je m'inquiète du délai du traitement qui me paraît un peu plus long.";;
physique;Très satisfait;"Conseillères très professionnelles et très compréhensible.
Merci à toute l'équipe CPAM du Gard pour votre professionnalisme.";;
physique;Très satisfait;Personnel très aimable tant à mon 1 er accueil, ainsi qu’à mon rendez-vous. Compétent;;
physique;Très satisfait;Il n'est pas normal que les appels téléphoniques sont payantes;;
physique;Assez satisfait;Dommage que le conseiller n’est pas résolu mon interrogation je ne dois pas être la seule dans ce cas de figure;;
physique;Très satisfait;J attend la fin de traitement de mon dossier je dois attendre 1 mois;;
physique;Assez satisfait;Pourquoi   ,ce manque de coordination?;;
physique;Assez satisfait;Les réponses aux mails sont à côté du sujet. Et ne sont pas fiables. Revoir la formation des correspondants qui répondent n'importe quoi.;;
physique;Très satisfait;Non;;
physique;Assez satisfait;Il est beaucoup plus facile maintenant d'avoir un conseiller au téléphone par rapport à avant;;
physique;Très satisfait;Aucune, j’ai vraiment été très bien reçue;;
physique;Très satisfait;"Répondait en tous points à mes attentes
Personnel aimable et compétent";;
physique;Assez satisfait;Pas de possibilité de contacter le service des dossiers de cure thermale;;
physique;Très satisfait;merci à la personne qui m'a reçue à la CPAM antenne ILE ROUSSE.pour sapatience et son efficacité;;
physique;Très satisfait;"Pour moi c'était  un rdv téléphonique ..
Agréable personne, à fait bien son travail .";;
physique;Très satisfait;"La dame au point d’accueil est toujours très claire et de très bons conseils 
Des réponses claires et précises à mes demandes";;
physique;Très satisfait;"Il serait bien que le 3646 propose un rdv ""physique"" aux assurés qui le souhaitent et le peuvent Par contre, Google ne précise pas que la CPAM de Brets Bellevue n'est ouverte que lematin, sauf sur rdv. Améli le précise !";;
physique;Très satisfait;Ras très bien accueillie et la personne qui m a reçu  très  à  l écoute et très  compétente  car tout à  été  réglé  rapidement;;
physique;Pas du tout satisfait;coordonner le message du compte ameli avec le rendez-vous.;;
physique;Assez satisfait;je ne comprends pas que nous devons fournir certaines piéces alors que vous avez accés aux informations;;
physique;Très satisfait;les 2 personnes qui m on reçues etaient patientes et à l écoute. super accueil;;
physique;Peu satisfait;Oui, il y a une frange de population qui ne peut avoir accès à internet a votre site ameli, il faudrait plus d'agent , un accueil agréable avec une salle d'attente digne de ce nom. Que les agents d'accueil puissent vous donner des rendez vous sans être obligé de revenir par téléphone.;;
physique;Très satisfait;NON;;
physique;Assez satisfait;Je demande simplement mes indemnités journalières de janvier et février 2024 le plus rapidement possible;;
physique;Très satisfait;"La conseillère qui m’a reçu lors de ce rendez-vous nous est très professionnelle à l’écoute et précise dans ces réponses apporté.
Une personne sympathique de bons conseils et qui effectue parfaitement son travail.";;
physique;Peu satisfait;entretien trop rapide;;
physique;Très satisfait;non;;
physique;Peu satisfait;J’attends une réponse à ma demande depuis le 5 novembre 2023;;
physique;Assez satisfait;Il serait bien que l’on fournisse des outils qui fonctionnent au personnel car le scanner ne marchait pas, soucis informatiques aussi donc compliqué de travailler dans ces conditions et donc de fournir un service de qualité aux personne qui se déplacent…;;
physique;Assez satisfait;RAS;;
physique;Pas du tout satisfait;L'agent de sécurité n'est pas compétitif;;
physique;Très satisfait;Ma conseillère été formidable très calé dans sont travail ( très belle);;
physique;Très satisfait;L'agent qui a traité mon dossier était très respectueux,professionnel et aime le contact relationnel a su répondre a nos question merci a lui;;
physique;Assez satisfait;L'heure du rdv n'est vraiment pas respecter  plus de 40 minutes de retard. Sinon l'efficacité de l'agent est excellent mais trop de retard;;
physique;Très satisfait;Non;;
physique;Assez satisfait;Chez certaines le délai de l’accueil ne doit pas être expéditif;;
physique;Peu satisfait;je suis pas le processus, car les gens qui traitent le dossiers derrière sont pas sérieux. j'ai déposé le dossier 2foismaisvous avez perdu en disant qu'on a pas reçu.;;
physique;Très satisfait;Le fait de pouvoir avoir une réponse rapide cela est bien;;
physique;Assez satisfait;Non;;
physique;Peu satisfait;le personnel de mon agence est compétent mais j'aimerais le même interlocuteur qui m’envoie des mails a chaque retour de rdv;;
physique;Très satisfait;Aucun et très professionnel;;
physique;Très satisfait;Non;;
physique;Assez satisfait;lieux de rendez vous mal indiqueé;;
physique;Très satisfait;Merci;;
physique;Très satisfait;Trier les personnes par file avec RDV et sans RDV;;
physique;Pas du tout satisfait;La personne en l’occurrence une femme elle prend les gens de haut comme si on était des demeurés je n’ai pas attendu à elle pour faire mes papiers;;
physique;Très satisfait;delais attente long pour le rendez-vous;;
physique;Assez satisfait;Suite à mes pertes de connaissance j’ai été transporté a l’hôpital par les pompiers venus me chercher sur mon lieu de travail.Alors que j’étais en arrêt de travail ( épuisé), il m’a été precisé très récemment que quelques jours après cet accident un courrier de la CPAM m’aurait été adressé me demandant de fournir le compte rendu du Medecin qui m’a examiné a l’hôpital ainsi qu’un certificat médical initial de lésions.je certifie sur l’honneur n’avoir jamais reçu ce courrier.il m’aurait pourtant fait un grand bien psychologique. Désormais, rétroactivement je dois réactualiser certains éléments au dossier et ce n’est pas facile car je me sens toujours extrêmement fatigué.;;
physique;Assez satisfait;manque de personnel au centre CPAMcaucriauville donc pas de rendez vous possible;;
physique;Très satisfait;Personnels très professionnels et agréables;;
physique;Assez satisfait;Je suis dans l’attente d’un remboursement depuis 1 an. Donc j’aimerai savoir si ce rendez-vous a enfin débloqué la situation.;;
physique;Très satisfait;Très bon accueil et professionnalisme;;
physique;Peu satisfait;La personne qui m’a reçu ne connaissait pas grand chose, j’ai eu d’autres rendez vous par le passé avec des dames très efficace. J’avais pris un rv physique afin que mon dossier d’aide soit rempli correctement et non un brouillon donc je ne sais pas comment la commission va le prendre. Merci pour votre écoute.;;
physique;Très satisfait;Aucune;;
physique;Pas du tout satisfait;Avant le covid il était facile de se rendre à la cpam maintenant cela est très compliqué;;
physique;Assez satisfait;"Temps de traitement des dossiers sont trop long
Merci";;
physique;Pas du tout satisfait;Ouvrez de temps en temps c'est plus pratique;;
physique;Très satisfait;Accueil et services bien;;
physique;Très satisfait;Non;;
physique;Assez satisfait;Agent m'ayant reçu devait me rappeler par téléphone deux jours après, j'attends toujours...;;
